id,age,city
1,1,Týnec
2,2,Baitashan
3,3,Turku
4,4,Fenshui
5,5,Silodakon
6,6,Pa Kham
7,7,Timrå
8,8,Färgelanda
9,9,Ebaye
10,10,Sebeta
11,11,Unión de Reyes
12,12,Shataping
13,13,Hamburg Bramfeld
14,14,Shebalino
15,15,Siguqiao
16,16,Alpatovo
17,17,Ust’-Abakan
18,18,Voznesen’ye
19,19,Pushkino
20,20,Shibetsu
21,21,Gordeyevka
22,22,Kutno
23,23,Liaobu
24,24,Cuenca
25,25,Filabusi
26,26,Itapipoca
27,27,Tayāsīr
28,28,Essen
29,29,Vodnyy
30,30,Petrov
31,31,Pengxing
32,32,Hällefors
33,33,Shihudang
34,34,Shaochang
35,35,Itu
36,36,Grivenskaya
37,37,Al ‘Alamayn
38,38,Káto Miliá
39,39,Tokoname
40,40,Marystown
41,41,Tambaú
42,42,Bayshint
43,43,Kireyevsk
44,44,Paris 17
45,45,Sambongpari
46,46,Dubti
47,47,Kuching
48,48,Skotoússa
49,49,Yezhi
50,50,Xibu
51,51,Dipayal
52,52,Aimin
53,53,Stockholm
54,54,Pubal
55,55,Najin
56,56,Bronnitsy
57,57,Rájec-Jestřebí
58,58,Langsa
59,59,Qifang
60,60,Rancapare
61,61,Atlanta
62,62,Mutang
63,63,Siliana
64,64,Reforma
65,65,Isulan
66,66,Parabcan
67,67,Kanie
68,68,Jamban
69,69,Luz de Tavira
70,70,Esmeraldas
71,71,Maquanzhen
72,72,Simpang
73,73,Longkou
74,74,Binjiang
75,75,Lyon
76,76,Kolno
77,77,Morelos
78,78,Kozova
79,79,Xiabao
80,80,Uwelini
81,81,Zelenodolsk
82,82,Evijärvi
83,83,Tangyin
84,84,Ognevka
85,85,Ngã Bảy
86,86,Orguz
87,87,Fagatogo
88,88,Zhishan
89,89,Matozinhos
90,90,Lanat
91,91,Bojen Kulon
92,92,Montreuil
93,93,Nakuru
94,94,Brodósqui
95,95,København
96,96,Stepove
97,97,Lusambo
98,98,Viesīte
99,99,Zhenjiang
100,100,Palmdale
